date,season,competition,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,source,source_file_name,source_url,import_date,fixture_id,row_hash
2023-08-19,2023/24,Serie A,Empoli,Verona,0,1,2,4,6,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,1,fbe82ba3a1e5a4c9c379c4d9e8b1d0331cae77cb945cf1e2bff7c3d619369d92
2023-08-19,2023/24,Serie A,Frosinone,Napoli,1,3,4,6,10,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,2,7c2d489c89b1bd0f6d35c9625ac709d00396433dd80d200a7494cd0da19c2911
2023-08-19,2023/24,Serie A,Genoa,Fiorentina,1,4,3,4,7,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,3,5ce0ddf82f3ebcbc891704418cb81d11c9802713643bacba02afd31e9c3f66f1
2023-08-19,2023/24,Serie A,Inter,Monza,2,0,8,3,11,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,4,83bfbc5e45edb0d64ecfa694ff98c5af1ffd0c945fd91f7960999759a6852c04
2023-08-20,2023/24,Serie A,Lecce,Lazio,2,1,5,2,7,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,5,6c0623e05a828233eada6a80566854ab4d7a3ef0e9005bb710e1a6bb9dcedf59
2023-08-20,2023/24,Serie A,Roma,Salernitana,2,2,9,1,10,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,6,66bb842668812e4666142d6cbe658b9b206306418eadc69dfc73d83598092ec3
2023-08-20,2023/24,Serie A,Sassuolo,Atalanta,0,2,7,7,14,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,7,4db320da328664f7cc6ea351bbc764e19e6d1ee64ff9e2b384061637a5f070cc
2023-08-20,2023/24,Serie A,Udinese,Juventus,0,3,7,3,10,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,8,e7b9bea578558b78c0ceacf2b1608b7d4d845956ae5e2a89fb7721072d9978ca
2023-08-21,2023/24,Serie A,Bologna,Milan,0,2,3,6,9,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,9,7e68bffe3a18e1b8b9bc5ab483a2550c227bfdcc1f8bab0fa7af3f7576659e5b
2023-08-21,2023/24,Serie A,Torino,Cagliari,0,0,8,3,11,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,10,5d7773f047fa01177abe59b4a36e6f80151a4660b682e74531f780cdbbcb01c9
2023-08-26,2023/24,Serie A,Frosinone,Atalanta,2,1,3,7,10,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,11,716522968e0579d0a1a034490dae8007b9517a28f4906f094984436fee47774e
2023-08-26,2023/24,Serie A,Milan,Torino,4,1,2,1,3,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,12,9ee205344d7dbbdf6d1d7f514a046a22d2bcddf564717094ffce724c1e6b851e
2023-08-26,2023/24,Serie A,Monza,Empoli,2,0,6,5,11,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,13,afb0bdb8c7e9f8e2cfc86cff00938ad31b1abf6d888af551520d150ce34a4b85
2023-08-26,2023/24,Serie A,Verona,Roma,2,1,1,12,13,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,14,d25bc7f52c5caf872545d09a1725b04d3aaad5a3c638a8d7d6c7ebb9455bf18d
2023-08-27,2023/24,Serie A,Fiorentina,Lecce,2,2,3,3,6,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,15,a69312a4513881cc7bb354e3b78957e8c5ebcd24a5d92ee98030afd2ffaf7ca9
2023-08-27,2023/24,Serie A,Juventus,Bologna,1,1,5,1,6,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,16,014d1c23f5eb4d8880af198dc79c64da72cdc2851849888245ff0c47d4f9f327
2023-08-27,2023/24,Serie A,Lazio,Genoa,0,1,15,1,16,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,17,c6b585cbfaf8d21a9fb83231b7cd558b9d1a89b19ffeb6454a02897b4706fab2
2023-08-27,2023/24,Serie A,Napoli,Sassuolo,2,0,12,4,16,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,18,bbe6b94e909c3b08ca044da7e8283afc75f854a38405db73b02a6794e577616b
2023-08-28,2023/24,Serie A,Cagliari,Inter,0,2,4,7,11,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,19,a09ce1a2a9748dcb71f61ee1dfac6566db81591be82ff1347ee781471d1af300
2023-08-28,2023/24,Serie A,Salernitana,Udinese,1,1,7,5,12,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,20,ac6e07c7a3f280ce34ab717f639d8835a39bd335927abc8b5363c47539a858eb
2023-09-01,2023/24,Serie A,Roma,Milan,1,2,3,5,8,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,21,183acbc6c0bbead4eca3e78abc634e63fa8a2b39912d7ae57c205a137889ca01
2023-09-01,2023/24,Serie A,Sassuolo,Verona,3,1,10,1,11,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,22,f7b767423df4a684aa154c066aaa13864ad05b6de8b740fb716f50a95f818ba1
2023-09-02,2023/24,Serie A,Atalanta,Monza,3,0,7,3,10,football-data-csv,I1_2324.csv,https://www.football-data.co.uk/mmz4281/202324/I1.csv,2026-08-02 17:13:58,23,35e5c0c566114c981d880d8afdd679f30ee45585571e274b68e640949938a206
