confidence_threshold,ev_threshold,kelly_fraction,roi,yield,profit
60,0.01,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
60,0.02,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
60,0.03,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
60,0.05,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
60,0.07,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
65,0.01,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
65,0.02,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
65,0.03,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
65,0.05,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
65,0.07,Full,0.5789203215947043,1.4999999999999996,57.89203215947043
60,0.01,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
60,0.02,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
60,0.03,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
60,0.05,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
60,0.07,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
65,0.01,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
65,0.02,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
65,0.03,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
65,0.05,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
65,0.07,Half,0.28946016079735215,1.4999999999999996,28.946016079735216
60,0.01,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
60,0.02,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
60,0.03,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
60,0.05,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
60,0.07,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
65,0.01,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
65,0.02,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
65,0.03,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
65,0.05,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
65,0.07,Quarter,0.14473008039867608,1.4999999999999996,14.473008039867608
70,0.01,Quarter,0.0,0.0,0.0
70,0.01,Half,0.0,0.0,0.0
70,0.01,Full,0.0,0.0,0.0
70,0.02,Quarter,0.0,0.0,0.0
70,0.02,Half,0.0,0.0,0.0
70,0.02,Full,0.0,0.0,0.0
70,0.03,Quarter,0.0,0.0,0.0
70,0.03,Half,0.0,0.0,0.0
70,0.03,Full,0.0,0.0,0.0
70,0.05,Quarter,0.0,0.0,0.0
70,0.05,Half,0.0,0.0,0.0
70,0.05,Full,0.0,0.0,0.0
70,0.07,Quarter,0.0,0.0,0.0
70,0.07,Half,0.0,0.0,0.0
70,0.07,Full,0.0,0.0,0.0
75,0.01,Quarter,0.0,0.0,0.0
75,0.01,Half,0.0,0.0,0.0
75,0.01,Full,0.0,0.0,0.0
75,0.02,Quarter,0.0,0.0,0.0
75,0.02,Half,0.0,0.0,0.0
75,0.02,Full,0.0,0.0,0.0
75,0.03,Quarter,0.0,0.0,0.0
75,0.03,Half,0.0,0.0,0.0
75,0.03,Full,0.0,0.0,0.0
75,0.05,Quarter,0.0,0.0,0.0
75,0.05,Half,0.0,0.0,0.0
75,0.05,Full,0.0,0.0,0.0
75,0.07,Quarter,0.0,0.0,0.0
75,0.07,Half,0.0,0.0,0.0
75,0.07,Full,0.0,0.0,0.0
80,0.01,Quarter,0.0,0.0,0.0
80,0.01,Half,0.0,0.0,0.0
80,0.01,Full,0.0,0.0,0.0
80,0.02,Quarter,0.0,0.0,0.0
80,0.02,Half,0.0,0.0,0.0
80,0.02,Full,0.0,0.0,0.0
80,0.03,Quarter,0.0,0.0,0.0
80,0.03,Half,0.0,0.0,0.0
80,0.03,Full,0.0,0.0,0.0
80,0.05,Quarter,0.0,0.0,0.0
80,0.05,Half,0.0,0.0,0.0
80,0.05,Full,0.0,0.0,0.0
80,0.07,Quarter,0.0,0.0,0.0
80,0.07,Half,0.0,0.0,0.0
80,0.07,Full,0.0,0.0,0.0
