provider,support_email,sales_email,contact_form,evidence
Sportradar,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
Stats Perform,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
LSports,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
FeedConstruct,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
TXODDS,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Abelson Sports,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Genius Sports,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
IMG Arena,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
BetConstruct,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
OddsJam Enterprise,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Betfair Historical,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
The Odds API,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
API-Football,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
Sportmonks,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
GoalServe,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
Betradar,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
OddsPortal,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
