provider,historical_football_odds,total_corners,opening_odds,closing_odds,bookmaker_identity,api,csv_bulk,enterprise_feed,sample_dataset_availability,documentation,licensing,evidence
Sportradar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
Stats Perform,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
LSports,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
FeedConstruct,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
TXODDS,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Abelson Sports,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Genius Sports,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
IMG Arena,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
BetConstruct,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
OddsJam Enterprise,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY: public sportsbook/odds-data positioning; historical corner archive and licensing require direct commercial confirmation
Betfair Historical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
The Odds API,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
API-Football,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
Sportmonks,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
GoalServe,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
Betradar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,VERIFIED: public enterprise data- and feed-oriented product positioning; historical odds depth and licensing require direct commercial confirmation
OddsPortal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,LIKELY,UNKNOWN,"UNKNOWN: public visibility exists, but no verified historical corner odds archive or enterprise licence was confirmed in this research pass"
